更新日期,验证复现,集成开发,集成路径,POC名称,exp/poc文件名称,文件路径,语言,影响品牌,设备类型,设备型号,漏洞名称,CVE编号,发布时间,验证日期,漏洞地址,漏洞类型,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,V,,,,netgear_unauth_exec,exp/routers/Netgear/dgn2199_dnslookup_cgi_rce.py,Ruby,Netgear,路由设备,Netgear WN604 3.3.3之前的版本，WN802Tv2 3.5.5.0之前的版本，WNAP210v2 3.5.5.0之前的版本，WNAP320 3.5.5.0之前的版本，WNDAP350 3.5.5.0之前的版本，WNDAP360 3.5.5.0之前的版本，WNDAP660 3.5.5.0之前的版本,Netgear Devices - (Unauthenticated) Remote Command Execution ,CVE-2016-1555,2018/11/27,2020/2/27,https://www.exploit-db.com/exploits/45909,Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,V,V,routersploit/routersploit/modules/exploits/routers/netgear/dgn2200_dnslookup_cgi_rce.py,,dgn2200_dnslookup_cgi_rce,exp/routers/Netgear/dgn2200_dnslookup_cgi_rce.py,Python,Netgear,路由设备,"Netgear DGN2200v1,Netgear DGN2200v2,Netgear DGN2200v3,Netgear DGN2200v4,",Netgear DGN2200 RCE,CVE-2017-6334,2017/6/27,2020/2/27,https://www.exploit-db.com/exploits/41459/,Webapps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/16,————,V,routersploit/routersploit/modules/exploits/cameras/amcrest/Amcrest_Cameras_2_520_AC00_18_R_Unauthenticated_Audio_Streaming.py,,Amcrest Cameras 2.520.AC00.18.R - Unauthenticated Audio Streaming,exp/cam/Amcrest/dahua-bypass authentication.py,Python,Amcrest,网络摄像头,Amcrest Cameras 2.520.AC00.18.R,Amcrest Cameras 2.520.AC00.18.R- Unauthenticated Audio Streaming,CVE-2019-3948,2019/7/30,2020/2/28,https://www.exploit-db.com/exploits/47188,Webapps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/16,————,V,routersploit/routersploit/modules/exploits/cameras/dahua/dahua-bypass authentication.py,,dahua-bypass authentication.py,exp/cam/Amcrest/Amcrest Cameras 2.520.AC00.19.R - Unauthenticated Audio Streaming.py,Python,Dahua,网络摄像头," DH-IPC-HDBW23A0RN-ZS, DH-IPC-HDBW13A0SN, DH-IPC-HDW1XXX, DH-IPC-HDW2XXX, DH-IPC-HDW4XXX, DH-IPC-HFW1XXX, DH-IPC-HFW2XXX, DH-IPC-HFW4XXX, DH-SD6CXX, DH-NVR1XXX, DH-HCVR4XXX, DH-HCVR5XXX, DHI-HCVR51A04HE-S3, DHI-HCVR51A08HE-S3, and DHI-HCVR58A32S-S2",dahua-bypass authentication,CVE-2017-7927,2017/5/5,2020/2/28,https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2017-7927,Webapps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,————,,,,eMerge_E3_Access_Controller.rb,exp/smart lock/Nortek Security&Contronl/eMerge_E3_Access_Controller.rb,Ruby,Nortek Security＆Control,门禁控制设备,eMerge E3 Access Controller 4.6.07,eMerge E3 Access Controller 4.6.07 - Remote Code Execution,CVE-2019-7265,2019/11/18,2020/3/2,https://www.exploit-db.com/exploits/47626,Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/4/3,————,V,routersploit/routersploit/modules/exploits/routers/Nortek_Security＆Control/lineare3_sshroot.py,,lineare3_sshroot.py,exp/smart lock/Nortek Security&Contronl/lineare3_sshroot.py,Python,Nortek Security＆Control,门禁控制设备,eMerge E3 Access Controller 4.6.07,Nortek Linear eMerge E3 Access Controller 1.00-06 SSH,CVE-2019-7265,2019/11/13,2020/3/2,https://www.exploit-db.com/exploits/47625,Remote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/16,————,V,routersploit/routersploit/modules/exploits/routers/ewon/eWON-Flewy-Pwn.py,,eWON-Flewy-Pwn.py,exp/routers/Ewon/eWON-Flewy-Pwn.py,Python,Ewon,路由设备,eWon Firmware 12.2 to 13.0,eWON v13.0 Authentication Bypass,,2019/9/11,2020/3/2,https://www.exploit-db.com/exploits/47380,Remote,url原因导致连接失败,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,————,,,,cve_2019_1663_cisco_rmi_rce.rb,exp/routers/Cisco/cve_2019_1662_cisco_rce.rb,Ruby,Cisco,路由设备,RV110W Wireless-N VPN Firewall versions prior to 1.2.2.1;RV130W Wireless-N Multifunction VPN Router versions prior to 1.0.3.45;RV215W Wireless-N VPN Router versions prior to 1.3.1.1;,Cisco RV110W/RV130(W)/RV215W Routers Management Interface - Remote Command Execution,CVE-2019-1663,2019/9/3,2020/3/2,https://www.exploit-db.com/exploits/47348,Remote,可通过shodan验证，但缺少公网ip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,————,,,,cve_2019_1662_cisco_rce.rb,exp/routers/Cisco/cve_2019_1664_cisco_rmi_rce.rb,Ruby,Cisco,路由设备,Cisco RV320 and RV325,Cisco RV320 and RV325 - Unauthenticated Remote Code Execution,CVE-2019-1662,2019/4/3,2020/3/2,https://www.exploit-db.com/exploits/46655,Remote,可通过shodan验证，但缺少公网ip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020/3/6,————,,,,cve_2019_1663_cisco_rv130w_rce.rb,exp/routers/Cisco/cve_2019_1663_cisco_rv130w_rce.rb,Ruby,Cisco,路由设备,RV130W Wireless-N Multifunction VPN Router versions prior to 1.0.3.45,isco RV130W Routers - Management Interface Remote Command Execution,CVE-2019-1663,2019/4/15,2020/3/2,https://www.exploit-db.com/exploits/46705,Remote,可通过shodan验证，但缺少公网ip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
